addr,age,company,edu,link,money,title
北京-朝阳区,经验不限,成都普罗可布科技有限公司,统招本科,https://www.liepin.com/job/1949644047.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=11&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=11,15-25k·13薪,编程教研（Python）
广州-天河区,经验不限,广州衣神科技有限公司,学历不限,https://www.liepin.com/job/1944352525.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=12&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=12,13-25k,python后端开发工程师
深圳,经验不限,华为,本科,https://www.liepin.com/job/1950108427.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=13&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=13,20-30k·17薪,python开发工程师
北京-昌平区,3-5年,恩恩科技,本科,https://www.liepin.com/job/1950104719.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=14&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=14,面议,Application  Support Consultant
北京-朝阳区,3-5年,某北京专业服务公司,统招本科,https://www.liepin.com/a/37464137.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=15&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=15,16-25k,python开发
上海-杨浦区,1-3年,某上海知名公司,本科及以上,https://www.liepin.com/a/37439025.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=16&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=16,20-40k,Python后端工程师
深圳,3-5年,某深圳基金证券公司,统招本科,https://www.liepin.com/a/36427847.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=17&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=17,30-60k·18薪,Python
上海,5-10年,顽岩资产,本科,https://www.liepin.com/job/1945658953.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=18&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=18,50-80k·18薪,AI 开发工程师
深圳-南山区,3-5年,茂源资本,统招本科,https://www.liepin.com/job/1949757375.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=19&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=19,25-50k,高级python开发工程师
北京-海淀区,1-3年,微度芯创,本科,https://www.liepin.com/job/1944714031.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=20&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=20,13-18k·14薪,python开发工程师
