comp_name,job_salary,name,title
美团配送合作商,7000-10000元/月,美团9K送餐员提供车住,传菜员
美团配送合作商,9000-14000元/月,江南西直招美团骑手9K,传菜员
美团配送合作商,7000-10000元/月,骑手单多+车住,传菜员
美团配送合作商,10000-15000元/月,海珠急招美团骑手10K,传菜员
美团配送合作商,6000-12000元/月,番禺高薪骑手送餐员,传菜员
北京三快到家科技有限公司,8000-15000元/月,南村送餐员+配车,传菜员
北京三快到家科技有限公司,9000-17000元/月,五险一金月1.7w包住,传菜员
美团配送合作商,10000-15000元/月,太古汇急招美团骑手10K,传菜员
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,传菜员
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,传菜员
美团配送合作商,9000-15000元/月,海珠急招外卖9K起,传菜员
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,传菜员
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,传菜员
美团配送合作商,9000-15000元/月,天河直招美团9K,传菜员
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,传菜员
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,传菜员
美团配送合作商,7000-12000元/月,美团站点直招8k配车,传菜员
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,大堂经理_领班
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,洗碗工
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,传菜员
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,传菜员
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,传菜员
北京三快到家科技有限公司,7000-13900元/月,月1.4w月休4天五险一金,传菜员
美团配送合作商,8000-10000元/月,番禺区急招美团送餐员配车,传菜员
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,传菜员
美团配送合作商,6000-10000元/月,大石站点高薪直招骑手,传菜员
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,传菜员
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,传菜员
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,传菜员
美团配送合作商,9000-13000元/月,美团急招骑手0元入职配车,传菜员
美团配送合作商,8000-10000元/月,海珠区招骑手有车有住宿,传菜员
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,传菜员
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,传菜员
美团配送合作商,8000-15000元/月,太古汇站点直招骑手9元单,传菜员
北京三快到家科技有限公司,7000-13000元/月,江南西急招骑手提供车住,传菜员
美团配送合作商,8000-16000元/月,骑手电驴骑得好轻松一万五,传菜员
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,传菜员
美团配送合作商,7000-13000元/月,能吃苦收入一万五骑手,传菜员
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,传菜员
美团配送合作商,10000-15000元/月,天河急招美团骑手10K,传菜员
美团配送合作商,6999-12999元/月,三元里招骑手会王者优先录,传菜员
美团配送合作商,8000-13000元/月,招会打王者的送餐员,传菜员
美团配送合作商,7000-10000元/月,嘉禾急招送餐员只限5人,传菜员
美团配送合作商,7000-13000元/月,番禺区大石站点直招骑手,传菜员
饿了么配送服务商,6000-9000元/月,城东区月9000,传菜员
美团配送合作商,8000-13000元/月,三元里招骑手有车住单多,传菜员
美团配送合作商,7000-14000元/月,沙园高薪招送餐员可供车住,传菜员
美团配送合作商,面议,负债月光美团送餐奔小康,传菜员
美团配送合作商,8000-12000元/月,轻松简单高提成/骑手,传菜员
美团配送合作商,7999-15666元/月,毕业季招高薪骑手月入过万,传菜员
北京三快到家科技有限公司,7000-14000元/月,大石驻点骑手配送难度低,传菜员
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,大堂经理_领班
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,大堂经理_领班
美团配送合作商,9000-15000元/月,海珠骑手提供吃住车+1W,大堂经理_领班
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,大堂经理_领班
美团配送合作商,8000-12000元/月,招会打王者的外卖骑手,大堂经理_领班
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,大堂经理_领班
美团配送合作商,8000-15000元/月,巅峰旺季自由跑单,大堂经理_领班
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,大堂经理_领班
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,大堂经理_领班
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,大堂经理_领班
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,大堂经理_领班
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,大堂经理_领班
北京三快到家科技有限公司,8000-15000元/月,会打王者的送餐员提供车,大堂经理_领班
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,大堂经理_领班
美团配送合作商,8000-12000元/月,吃得苦中苦工资一万五,大堂经理_领班
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,大堂经理_领班
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,大堂经理_领班
美团配送合作商,8000-12000元/月,外卖送餐员提供住提供车,大堂经理_领班
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,大堂经理_领班
北京三快到家科技有限公司,8000-15000元/月,南村送餐员+配车,大堂经理_领班
美团配送合作商,8000-13000元/月,当天上岗配送员+0元入职,大堂经理_领班
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,大堂经理_领班
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,大堂经理_领班
美团配送合作商,7000-14000元/月,海珠招骑手有车住宿单多,大堂经理_领班
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,大堂经理_领班
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,大堂经理_领班
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,大堂经理_领班
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,大堂经理_领班
北京三快到家科技有限公司,6000-12000元/月,番禺区包住,大堂经理_领班
美团配送合作商,7000-12000元/月,美团站点直招8k配车,大堂经理_领班
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,配菜_打荷
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,洗碗工
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,洗碗工
美团配送合作商,8000-15000元/月,广州单多0元入职提供车住,洗碗工
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,洗碗工
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,洗碗工
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,洗碗工
美团配送合作商,7000-10000元/月,送餐员+可预支,洗碗工
北京三快到家科技有限公司,8000-15000元/月,五险一金底薪8000配车,洗碗工
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,洗碗工
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,洗碗工
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,洗碗工
美团配送合作商,8000-15000元/月,时间自由配送骑手月入过W,洗碗工
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,洗碗工
美团配送合作商,9000-14000元/月,江南西直招美团骑手9K,洗碗工
美团配送合作商,10000-15000元/月,海珠急招美团骑手10K,洗碗工
美团配送合作商,6000-12000元/月,番禺高薪骑手送餐员,洗碗工
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,洗碗工
北京三快到家科技有限公司,8000-15000元/月,不限工龄配车月1.5w,洗碗工
北京三快到家科技有限公司,9000-17000元/月,不限工龄包吃月1.7w,洗碗工
美团配送合作商,10000-15000元/月,太古汇急招美团骑手10K,洗碗工
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,洗碗工
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,洗碗工
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,洗碗工
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,洗碗工
美团配送合作商,9000-15000元/月,天河直招美团9K,洗碗工
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,洗碗工
美团配送合作商,9000-15000元/月,海珠急招外卖9K起,洗碗工
美团配送合作商,7000-12000元/月,美团站点直招8k配车,洗碗工
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,洗碗工
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,洗碗工
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,洗碗工
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,面点师
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,传菜员
美团配送合作商,7000-10000元/月,越秀急招骑手首月10块单,传菜员
美团配送合作商,8000-12000元/月,各区招送餐员配车+住宿,传菜员
美团配送合作商,7000-14000元/月,海珠招骑手有车住宿单多,传菜员
美团配送合作商,7000-14000元/月,大石招骑手有车单多好跑,传菜员
美团配送合作商,8000-13000元/月,大石招骑手包车单多好跑,传菜员
美团配送合作商,7000-14000元/月,招送餐员会玩王者优先录用,传菜员
美团配送合作商,8000-10000元/月,急招黄衣骑手高价送餐员,传菜员
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,迎宾_接待
